Label,Value
Kommunikation und Betreuung / Communication et accompagnement / Comunicazione e assistenza,259
Pflegehilfe / Soins / Assistenza ai malati,39
Betreuung von Menschen mit einer Beeinträchtigung / Assistance aux personnes ayant un handicap / Assistenza a persone disabili,88
Betreuung von betagten Menschen / Assistance aux personnes âgées / Assistenza a persone anziane,95
Betreuung von Kindern / Encadrement des enfants / Assistenza ai bambini,144
Betreuung von Jugendlichen / Encadrement d’adolescents / Assistenza a giovani,78
Umwelt- und Naturschutz / Protection de la nature et de l’environnement / Protezione dell’ambiente e della natura,34
Umgang mit der Motorsäge / Maniement de la tronçonneuse / Uso della motosega,65
Sicherheit im Auslandeinsatz / Sécurité lors d’affectations à l’étranger / Sicurezza durante l’impiego all’estero,4
Alp-Pflege / Entretien des alpages / Manutenzione dell’alpe,5
